Minutes5UTC,Minutes5DK,PriceArea,ProductionLt100MW,ProductionGe100MW,OffshoreWindPower,OnshoreWindPower,SolarPower,ExchangeGreatBelt,ExchangeGermany,ExchangeNetherlands,ExchangeGreatBritain,ExchangeNorway,ExchangeSweden,BornholmSE4
2026-09-11 12:45:00,2026-09-11 14:45:00,DK2,101.809998,151.660004,65.639999,109.389999,306.140015,137.699997,460.119995,,,,439.170013,2.38
2026-09-11 12:40:00,2026-09-11 14:40:00,DK2,101.769997,155.309998,63.419998,105.559998,331.190002,82.82,461.790009,,,,487.730011,1.22
2026-09-11 12:35:00,2026-09-11 14:35:00,DK2,105.099998,150.479996,67.330002,105.150002,334.609985,80.580002,585.919983,,,,412.51001,0.77
2026-09-11 12:30:00,2026-09-11 14:30:00,DK2,104.160004,146.339996,70.739998,107.449997,334.26001,70.690002,551.859985,,,,389.890015,3.27
2026-09-11 12:25:00,2026-09-11 14:25:00,DK2,101.650002,149.820007,70.110001,106.440002,362.670013,61.560001,535.51001,,,,466.149994,3.37
2026-09-11 12:20:00,2026-09-11 14:20:00,DK2,102.150002,148.479996,74.449997,112.599998,367.799988,60.52,609.25,,,,407.880005,0.5
2026-09-11 12:15:00,2026-09-11 14:15:00,DK2,100.550003,148.610001,77.82,112.080002,372.619995,61.549999,561.289978,,,,354.529999,13.14
2026-09-11 12:10:00,2026-09-11 14:10:00,DK2,145.75,150.429993,82.18,112.099998,416.570007,61.529999,442.890015,,,,410.369995,26.450001
2026-09-11 12:05:00,2026-09-11 14:05:00,DK2,164.429993,153.100006,90.980003,122.18,425.200012,61.77,514.909973,,,,382.01001,25.18
2026-09-11 12:00:00,2026-09-11 14:00:00,DK2,162.539993,147.759995,92.129997,127.629997,384.440002,60.509998,460.230011,,,,404.440002,26.959999
2026-09-11 11:55:00,2026-09-11 13:55:00,DK2,165.220001,146.919998,91.580002,128.320007,432.01001,61.610001,408.0,,,,464.359985,29.18
2026-09-11 11:50:00,2026-09-11 13:50:00,DK2,168.029999,148.830002,92.870003,136.139999,490.890015,60.5,387.679993,,,,522.109985,29.32
2026-09-11 11:45:00,2026-09-11 13:45:00,DK2,172.039993,152.350006,95.989998,143.990005,462.660004,106.800003,333.679993,,,,359.450012,13.93
2026-09-11 11:40:00,2026-09-11 13:40:00,DK2,168.710007,157.509995,96.540001,133.210007,444.51001,147.860001,269.829987,,,,469.140015,14.03
2026-09-11 11:35:00,2026-09-11 13:35:00,DK2,167.509995,165.25,97.389999,139.919998,430.519989,149.169998,264.299988,,,,470.040009,14.75
2026-09-11 11:30:00,2026-09-11 13:30:00,DK2,170.520004,182.759995,100.220001,146.309998,415.130005,114.239998,284.339996,,,,415.059998,3.54
2026-09-11 11:25:00,2026-09-11 13:25:00,DK2,173.490005,193.729996,101.489998,143.050003,425.970001,66.660004,287.380005,,,,407.950012,2.89
2026-09-11 11:20:00,2026-09-11 13:20:00,DK2,155.389999,185.809998,102.959999,144.300003,391.359985,65.620003,324.890015,,,,414.73999,-0.5
2026-09-11 11:15:00,2026-09-11 13:15:00,DK2,103.660004,182.039993,103.169998,141.490005,454.290009,73.860001,321.75,,,,434.109985,2.07
2026-09-11 11:10:00,2026-09-11 13:10:00,DK2,101.099998,165.470001,105.010002,146.960007,458.049988,78.510002,359.980011,,,,444.880005,7.03
2026-09-11 11:05:00,2026-09-11 13:05:00,DK2,103.089996,162.360001,108.059998,141.720001,440.440002,77.360001,414.959991,,,,446.420013,16.49
2026-09-11 11:00:00,2026-09-11 13:00:00,DK2,102.230003,154.050003,114.269997,145.309998,475.5,38.57,337.290009,,,,470.790009,14.1
2026-09-11 10:55:00,2026-09-11 12:55:00,DK2,100.790001,150.470001,115.410004,148.0,439.690002,0.0,469.399994,,,,406.230011,4.39
2026-09-11 10:50:00,2026-09-11 12:50:00,DK2,99.800003,160.279999,119.080002,151.720001,439.290009,0.0,400.920013,,,,432.059998,3.51
2026-09-11 10:45:00,2026-09-11 12:45:00,DK2,100.629997,137.199997,125.449997,154.850006,451.190002,17.700001,450.470001,,,,388.589996,8.15
2026-09-11 10:40:00,2026-09-11 12:40:00,DK2,99.730003,166.020004,128.770004,156.0,469.589996,24.41,337.380005,,,,438.890015,22.860001
2026-09-11 10:35:00,2026-09-11 12:35:00,DK2,100.07,158.820007,134.839996,151.279999,456.769989,22.040001,384.959991,,,,378.23999,23.030001
2026-09-11 10:30:00,2026-09-11 12:30:00,DK2,101.110001,133.289993,133.339996,152.710007,440.670013,16.6,420.940002,,,,374.679993,-14.48
2026-09-11 10:25:00,2026-09-11 12:25:00,DK2,99.5,145.610001,135.300003,146.169998,481.179993,17.73,412.880005,,,,399.070007,-14.38
2026-09-11 10:20:00,2026-09-11 12:20:00,DK2,96.870003,172.300003,136.259995,150.259995,430.600006,17.73,414.190002,,,,394.160004,3.88
2026-09-11 10:15:00,2026-09-11 12:15:00,DK2,97.769997,187.440002,136.339996,143.610001,436.160004,31.83,329.799988,,,,430.269989,-1.01
2026-09-11 10:10:00,2026-09-11 12:10:00,DK2,97.18,205.550003,137.460007,149.589996,474.820007,50.41,262.820007,,,,417.940002,-8.26
2026-09-11 10:05:00,2026-09-11 12:05:00,DK2,95.620003,228.429993,137.139999,145.029999,433.380005,45.599998,246.509995,,,,416.640015,-7.37
2026-09-11 10:00:00,2026-09-11 12:00:00,DK2,94.080002,226.639999,134.399994,146.619995,435.380005,0.0,286.809998,,,,421.079987,15.88
2026-09-11 09:55:00,2026-09-11 11:55:00,DK2,95.059998,241.059998,134.089996,143.339996,475.029999,-62.200001,251.539993,,,,442.799988,-10.65
2026-09-11 09:50:00,2026-09-11 11:50:00,DK2,93.639999,275.549988,135.320007,157.110001,460.01001,-62.09,201.399994,,,,477.51001,-9.59
2026-09-11 09:45:00,2026-09-11 11:45:00,DK2,93.449997,336.029999,142.149994,155.710007,411.600006,-85.639999,331.799988,,,,424.799988,16.799999
2026-09-11 09:40:00,2026-09-11 11:40:00,DK2,94.089996,406.920013,144.539993,146.399994,468.029999,-106.970001,257.890015,,,,408.519989,6.68
2026-09-11 09:35:00,2026-09-11 11:35:00,DK2,92.260002,443.670013,152.130005,142.190002,367.200012,-95.709999,274.899994,,,,365.019989,-3.68
2026-09-11 09:30:00,2026-09-11 11:30:00,DK2,97.330002,483.410004,148.139999,151.839996,340.559998,-106.879997,184.809998,,,,408.980011,-4.67
2026-09-11 09:25:00,2026-09-11 11:25:00,DK2,93.550003,533.719971,149.270004,146.399994,371.390015,-205.399994,170.350006,,,,451.549988,0.53
2026-09-11 09:20:00,2026-09-11 11:20:00,DK2,91.529999,544.869995,149.729996,144.660004,359.290009,-200.449997,169.830002,,,,417.48999,0.84
2026-09-11 09:15:00,2026-09-11 11:15:00,DK2,90.629997,552.030029,151.389999,147.020004,336.880005,-171.490005,111.93,,,,413.359985,0.91
2026-09-11 09:10:00,2026-09-11 11:10:00,DK2,90.5,542.280029,150.580002,143.729996,379.920013,-140.300003,52.889999,,,,435.059998,1.04
2026-09-11 09:05:00,2026-09-11 11:05:00,DK2,91.779999,529.429993,157.220001,140.210007,416.079987,-201.119995,116.209999,,,,488.779999,14.17
2026-09-11 09:00:00,2026-09-11 11:00:00,DK2,92.669998,532.780029,152.0,137.539993,458.079987,-131.100006,57.32,,,,440.190002,25.559999
2026-09-11 08:55:00,2026-09-11 10:55:00,DK2,90.120003,546.409973,154.539993,134.889999,504.799988,-68.949997,17.23,,,,381.200012,11.44
2026-09-11 08:50:00,2026-09-11 10:50:00,DK2,92.209999,533.330017,159.740005,136.100006,511.089996,-66.25,18.950001,,,,396.309998,11.81
2026-09-11 08:45:00,2026-09-11 10:45:00,DK2,95.209999,472.779999,165.960007,138.070007,472.970001,-33.43,86.160004,,,,407.869995,24.629999
2026-09-11 08:40:00,2026-09-11 10:40:00,DK2,96.239998,439.790009,164.149994,134.289993,474.769989,0.0,56.68,,,,379.600006,15.09
2026-09-11 08:35:00,2026-09-11 10:35:00,DK2,96.959999,431.429993,165.009995,125.510002,415.73999,0.0,45.32,,,,409.309998,15.71
2026-09-11 08:30:00,2026-09-11 10:30:00,DK2,97.0,466.529999,166.970001,127.089996,354.600006,0.0,130.050003,,,,432.209991,27.68
2026-09-11 08:25:00,2026-09-11 10:25:00,DK2,97.839996,502.160004,173.419998,128.630005,349.109985,0.0,108.919998,,,,401.839996,28.26
2026-09-11 08:20:00,2026-09-11 10:20:00,DK2,97.419998,511.850006,170.130005,124.230003,373.480011,0.0,19.870001,,,,461.670013,31.709999
2026-09-11 08:15:00,2026-09-11 10:15:00,DK2,101.900002,531.02002,166.550003,127.730003,360.26001,31.700001,-18.540001,,,,466.049988,34.68
2026-09-11 08:10:00,2026-09-11 10:10:00,DK2,105.260002,545.559998,165.270004,119.57,368.230011,60.599998,-79.099998,,,,400.829987,27.469999
2026-09-11 08:05:00,2026-09-11 10:05:00,DK2,103.400002,564.289978,169.720001,126.919998,368.320007,60.599998,-83.709999,,,,399.829987,23.27
2026-09-11 08:00:00,2026-09-11 10:00:00,DK2,101.459999,537.280029,171.309998,129.190002,357.720001,60.419998,-19.700001,,,,354.869995,7.03
2026-09-11 07:55:00,2026-09-11 09:55:00,DK2,98.769997,527.169983,167.600006,129.330002,335.23999,60.419998,-17.280001,,,,353.23999,24.290001
2026-09-11 07:50:00,2026-09-11 09:50:00,DK2,95.57,526.940002,156.039993,122.580002,338.170013,60.529999,-16.559999,,,,375.320007,25.110001
2026-09-11 07:45:00,2026-09-11 09:45:00,DK2,95.440002,530.059998,147.300003,120.120003,358.570007,60.529999,-17.15,,,,434.920013,25.450001
2026-09-11 07:40:00,2026-09-11 09:40:00,DK2,94.290001,531.359985,141.25,121.370003,361.040009,60.509998,-18.59,,,,368.690002,24.530001
2026-09-11 07:35:00,2026-09-11 09:35:00,DK2,97.709999,526.830017,137.419998,114.300003,354.350006,61.549999,-26.65,,,,410.410004,23.74
2026-09-11 07:30:00,2026-09-11 09:30:00,DK2,98.110001,538.700012,134.529999,116.199997,345.450012,61.330002,1.52,,,,405.869995,23.709999
2026-09-11 07:25:00,2026-09-11 09:25:00,DK2,97.040001,556.530029,132.830002,117.68,356.790009,61.259998,18.23,,,,370.829987,22.959999
2026-09-11 07:20:00,2026-09-11 09:20:00,DK2,98.540001,547.679993,133.229996,119.309998,337.160004,59.700001,17.209999,,,,374.649994,23.23
2026-09-11 07:15:00,2026-09-11 09:15:00,DK2,109.019997,546.650024,136.220001,116.370003,298.959991,29.98,87.919998,,,,381.100006,22.040001
2026-09-11 07:10:00,2026-09-11 09:10:00,DK2,110.129997,560.880005,136.990005,113.389999,322.299988,0.0,95.970001,,,,387.329987,21.25
2026-09-11 07:05:00,2026-09-11 09:05:00,DK2,109.389999,531.289978,125.800003,110.260002,317.339996,0.0,84.639999,,,,455.149994,21.9
2026-09-11 07:00:00,2026-09-11 09:00:00,DK2,108.860001,474.869995,131.300003,109.419998,296.980011,0.0,294.690002,,,,336.589996,24.870001
2026-09-11 06:55:00,2026-09-11 08:55:00,DK2,110.970001,444.299988,122.830002,109.870003,268.679993,0.0,463.709991,,,,224.630005,25.32
2026-09-11 06:50:00,2026-09-11 08:50:00,DK2,112.849998,456.369995,113.690002,110.279999,244.130005,0.0,451.51001,,,,213.559998,15.78
2026-09-11 06:45:00,2026-09-11 08:45:00,DK2,113.169998,512.780029,107.349998,106.93,233.360001,0.0,419.859985,,,,244.440002,25.32
2026-09-11 06:40:00,2026-09-11 08:40:00,DK2,113.629997,569.849976,100.190002,109.949997,210.410004,0.0,460.649994,,,,190.899994,25.76
2026-09-11 06:35:00,2026-09-11 08:35:00,DK2,111.239998,570.659973,92.690002,110.220001,209.149994,0.0,454.0,,,,172.350006,26.0
2026-09-11 06:30:00,2026-09-11 08:30:00,DK2,111.290001,568.22998,89.669998,105.080002,210.570007,0.0,424.649994,,,,203.690002,25.93
2026-09-11 06:25:00,2026-09-11 08:25:00,DK2,111.870003,575.969971,89.5,106.260002,197.830002,0.0,367.839996,,,,289.519989,26.0
2026-09-11 06:20:00,2026-09-11 08:20:00,DK2,109.879997,572.200012,82.75,104.660004,186.139999,0.0,338.859985,,,,257.649994,26.379999
2026-09-11 06:15:00,2026-09-11 08:15:00,DK2,111.300003,571.549988,82.459999,104.849998,162.899994,31.85,356.23999,,,,255.070007,26.549999
2026-09-11 06:10:00,2026-09-11 08:10:00,DK2,112.019997,569.400024,83.889999,105.959999,143.190002,61.48,324.690002,,,,273.869995,26.790001
2026-09-11 06:05:00,2026-09-11 08:05:00,DK2,111.980003,569.599976,78.239998,111.830002,131.270004,66.0,359.609985,,,,228.289993,26.92
2026-09-11 06:00:00,2026-09-11 08:00:00,DK2,115.919998,574.859985,74.93,113.300003,116.470001,140.539993,287.190002,,,,212.029999,26.309999
2026-09-11 05:55:00,2026-09-11 07:55:00,DK2,119.019997,567.969971,70.089996,115.720001,103.68,272.070007,147.389999,,,,249.559998,25.450001
2026-09-11 05:50:00,2026-09-11 07:50:00,DK2,120.589996,571.099976,69.199997,112.0,92.239998,301.329987,134.929993,,,,222.220001,24.530001
2026-09-11 05:45:00,2026-09-11 07:45:00,DK2,122.309998,568.650024,67.529999,108.43,79.849998,337.070007,125.230003,,,,211.869995,24.530001
2026-09-11 05:40:00,2026-09-11 07:40:00,DK2,121.559998,568.650024,65.870003,108.639999,70.260002,382.950012,72.440002,,,,231.139999,24.629999
2026-09-11 05:35:00,2026-09-11 07:35:00,DK2,122.910004,569.820007,67.769997,107.959999,59.18,366.570007,78.980003,,,,233.699997,24.530001
2026-09-11 05:30:00,2026-09-11 07:30:00,DK2,123.040001,566.799988,64.360001,108.0,53.009998,412.230011,-0.44,,,,237.199997,9.15
2026-09-11 05:25:00,2026-09-11 07:25:00,DK2,120.720001,568.75,63.689999,104.080002,41.759998,411.269989,-18.440001,,,,272.959991,10.58
2026-09-11 05:20:00,2026-09-11 07:20:00,DK2,118.480003,568.880005,67.669998,102.699997,34.25,411.269989,-18.35,,,,268.600006,9.15
2026-09-11 05:15:00,2026-09-11 07:15:00,DK2,112.839996,568.710022,68.360001,98.279999,29.959999,411.269989,-18.34,,,,296.899994,25.01
2026-09-11 05:10:00,2026-09-11 07:10:00,DK2,114.209999,569.98999,70.279999,96.379997,20.469999,411.269989,-36.48,,,,330.73999,24.870001
2026-09-11 05:05:00,2026-09-11 07:05:00,DK2,113.599998,572.099976,73.660004,94.089996,15.55,421.130005,-58.849998,,,,306.559998,24.290001
2026-09-11 05:00:00,2026-09-11 07:00:00,DK2,115.919998,570.429993,75.620003,88.980003,10.79,348.609985,-72.190002,,,,341.970001,22.41
2026-09-11 04:55:00,2026-09-11 06:55:00,DK2,118.269997,564.070007,74.889999,85.93,7.99,361.0,-150.710007,,,,383.109985,8.91
2026-09-11 04:50:00,2026-09-11 06:50:00,DK2,119.449997,569.830017,71.760002,83.300003,4.97,321.399994,-106.82,,,,395.369995,9.15
2026-09-11 04:45:00,2026-09-11 06:45:00,DK2,121.540001,571.559998,71.559998,80.830002,3.04,288.390015,-86.599998,,,,425.660004,21.629999
2026-09-11 04:40:00,2026-09-11 06:40:00,DK2,120.980003,562.440002,71.089996,80.919998,1.33,283.149994,-116.050003,,,,430.059998,20.91
2026-09-11 04:35:00,2026-09-11 06:35:00,DK2,119.82,567.0,74.400002,79.0,0.02,286.380005,-100.519997,,,,422.220001,21.18
2026-09-11 04:30:00,2026-09-11 06:30:00,DK2,121.080002,574.530029,76.230003,76.889999,0.0,282.079987,-139.639999,,,,414.51001,20.809999
2026-09-11 04:25:00,2026-09-11 06:25:00,DK2,119.480003,568.559998,80.0,75.150002,0.24,293.119995,-150.199997,,,,411.26001,20.700001
2026-09-11 04:20:00,2026-09-11 06:20:00,DK2,118.129997,570.960022,79.07,75.93,0.0,302.670013,-193.050003,,,,448.070007,19.98
2026-09-11 04:15:00,2026-09-11 06:15:00,DK2,116.120003,572.150024,77.040001,74.489998,3.81,314.269989,-218.940002,,,,443.220001,19.879999
2026-09-11 04:10:00,2026-09-11 06:10:00,DK2,116.660004,564.400024,76.669998,71.629997,0.0,294.51001,-222.009995,,,,471.540009,19.74
2026-09-11 04:05:00,2026-09-11 06:05:00,DK2,114.620003,559.25,78.910004,70.370003,0.0,290.220001,-185.320007,,,,454.140015,34.200001
2026-09-11 04:00:00,2026-09-11 06:00:00,DK2,106.120003,570.909973,76.279999,69.349998,0.0,333.600006,-193.25,,,,411.940002,19.74
2026-09-11 03:55:00,2026-09-11 05:55:00,DK2,103.779999,572.210022,74.510002,69.610001,0.0,390.630005,-278.559998,,,,413.619995,31.26
2026-09-11 03:50:00,2026-09-11 05:50:00,DK2,103.470001,570.650024,73.43,70.239998,0.0,432.649994,-310.220001,,,,394.350006,30.719999
2026-09-11 03:45:00,2026-09-11 05:45:00,DK2,103.730003,567.650024,72.639999,69.989998,0.0,421.820007,-361.850006,,,,409.190002,17.83
2026-09-11 03:40:00,2026-09-11 05:40:00,DK2,103.900002,563.950012,65.989998,71.220001,0.1,439.76001,-394.540009,,,,442.130005,29.76
2026-09-11 03:35:00,2026-09-11 05:35:00,DK2,102.43,558.47998,62.689999,70.0,0.0,436.299988,-387.589996,,,,450.359985,29.559999
2026-09-11 03:30:00,2026-09-11 05:30:00,DK2,102.379997,550.640015,61.639999,72.410004,0.03,436.589996,-436.149994,,,,438.230011,14.82
2026-09-11 03:25:00,2026-09-11 05:25:00,DK2,102.199997,549.919983,60.93,71.68,0.0,454.190002,-460.320007,,,,429.089996,2.34
2026-09-11 03:20:00,2026-09-11 05:20:00,DK2,101.949997,549.419983,57.209999,71.660004,0.0,455.420013,-462.100006,,,,451.910004,2.45
2026-09-11 03:15:00,2026-09-11 05:15:00,DK2,101.790001,561.130005,57.59,70.029999,0.0,444.230011,-399.269989,,,,418.649994,17.01
2026-09-11 03:10:00,2026-09-11 05:10:00,DK2,102.43,562.679993,54.490002,68.580002,0.0,413.450012,-387.200012,,,,434.76001,16.799999
